car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,body_type,rating,starting_price,ending_price,max_torque_nm,max_torque_rpm,max_power_bhp,max_power_rp,image_urls
Mahindra Thar,242,Diesel,2184,4,4.0,Automatic,57.0,SUV,4.5,1353000,1603000,300.0,2800,130.0,3750,https://www.largus.fr/images/images/2021-mahindra-thar-9.jpg
Ferrari F8 Tributo,6,Petrol,3902,8,2.0,Automatic,78.0,Coupe,3.5,8580000,12500000,770.0,3250,710.74,8000,https://ferrari-cdn.thron.com/delivery/public/thumbnail/ferrari/e9677798-7b8b-42b1-becf-387235c70b2a/bocxuw/std/488x325/e9677798-7b8b-42b1-becf-387235c70b2a?scalemode=auto
Mercedes-Benz GLE,2,Diesel,2925,6,5.0,Automatic,93.0,SUV,4.5,14400000,14400000,700.0,4000,325.8,4200,https://www.mercedes-benz.fr/content/dam/hq/passengercars/cars/gle/gle-suv-v167-fl-pi/modeloverview/01-2023/images/mercedes-benz-gle-suv-v167-modeloverview-696x392-01-2023.png
BMW M4 Competition,11,Petrol,2993,6,5.0,Automatic,0.0,Coupe,4.5,16200000,22300000,650.0,5500,502.88,6250,https://www.bmw.fr/content/dam/bmw/common/all-models/m-series/m4-coupe/2022/Highlights/bmw-4-series-coupe-m-automobiles-gallery-impressions-m4-csl-01_890.jpg
BMW 8 Series,3,Petrol,4395,8,4.0,Automatic,68.0,Coupe,4.5,4200000,4600000,750.0,5600,600.0,6000,https://www.bmw.fr/content/dam/bmw/common/all-models/8-series/coupe/2022/navigation/bmw-8series-coupe-modellfinder.png
Mini Cooper Countryman,13,Petrol,1998,4,5.0,Automatic,51.0,SUV,4.5,4200000,4400000,280.0,1350,189.08,6000,"https://hips.hearstapps.com/hmg-prod/images/2021-mini-cooper-countryman-101-1590517770.jpg?crop=0.689xw:0.773xh;0.156xw,0.227xh&resize=640:*"
Mercedes-Benz A-Class Limousine,3,Diesel,1950,4,5.0,Automatic,66.0,Sedan,4.5,13700000,25400000,320.0,3500,147.51,4000,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mercedes-Benz/A-Class-Limousine/10868/1690455053374/front-left-side-47.jpg
Maserati GranCabrio,2,Diesel,4691,8,4.0,Automatic,75.0,Convertible,4.0,15900000,15900000,520.0,0,460.0,0,https://images.caradisiac.com/logos-ref/modele/modele--maserati-grancabrio/S7-modele--maserati-grancabrio.jpg
Mercedes-Benz AMG GLE 53,1,Petrol,2999,6,5.0,Automatic,85.0,Coupe,4.5,30000000,35000000,520.0,5800,435.0,6100,https://www.turbo.fr/sites/default/files/2019-03/mercedes-amg-gle-53-4matic-plus-fiche-presentation.png
Mercedes-Benz EQC,1,Electric,0,0,5.0,Automatic,0.0,SUV,4.5,8247000,8247000,760.0,0,402.3,0,https://www.mercedes-benz.fr/passengercars/mercedes-benz-cars/models/eqc/_jcr_content/image.MQ6.2.2x.20211207155933.png
Mercedes-Benz AMG C 43,1,Petrol,2996,6,5.0,Automatic,0.0,Coupe,4.5,11100000,11100000,520.0,5000,384.87,6100,https://hips.hearstapps.com/hmg-prod/images/2022-mercedes-amg-c43-coupe-mmp-1-1638891696.jpg
Hyundai Xcent Prime,8,CNG,1197,4,5.0,Manual,65.0,Sedan,4.5,12000000,12400000,97.96,4200,65.39,5600,https://stimg.cardekho.com/images/carexteriorimages/930x620/Hyundai/Xcent-Prime/8810/1649747759335/front-left-side-47.jpg
Jaguar I-Pace,6,Electric,0,0,5.0,Electric,0.0,SUV,4.5,70600000,76400000,696.0,0,394.26,0,https://www.topgear.com/sites/default/files/cars-car/image/2022/03/1-Jaguar-I-Pace.jpg
Rolls Royce Dawn,2,Petrol,6598,12,4.0,Automatic,0.0,Convertible,4.0,20800000,20800000,820.0,5000,563.0,6000,https://mediapool.bmwgroup.com/cache/P9/202305/P90503572/P90503572-farewell-to-dawn-the-very-last-dawn-to-be-produced-at-the-home-of-rolls-royce-goodwood-1650px.jpg
BMW X5 M,30,Petrol,4395,8,5.0,Automatic,83.0,SUV,5.0,32100000,49900000,750.0,5600,616.87,6000,https://www.bmw.fr/content/dam/bmw/common/all-models/m-series/x5m/2023/highlights/bmw-m-series-x5-m-gallery-image-impressionen-02_1920.jpg.asset.1673025861930.jpg
Lamborghini Huracan EVO,5,Petrol,5204,10,2.0,Automatic,80.0,Coupe,4.5,4000000,4000000,565.0,6500,630.28,8000,https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_detail/huracan/evo/2022/10_06/over/hura_evo_over_01_m.jpg
Mini Cooper 3 DOOR,15,Petrol,1998,4,4.0,Automatic,44.0,Hatchback,4.5,8470000,8470000,280.0,1250,189.08,6000,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mini/3-DOOR/10593/1689937052417/front-left-side-47.jpg
Mercedes-Benz CLS,60,Diesel,1950,4,5.0,Automatic,66.0,Coupe,4.5,885000,912000,500.0,2400,241.3,4200,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Mercedes-Benz_C_257_Wien_27_July_2020_JM_%28cropped%29.jpg/1200px-Mercedes-Benz_C_257_Wien_27_July_2020_JM_%28cropped%29.jpg
Mahindra Bolero PikUp ExtraLong,5,Diesel,2523,4,2.0,Manual,60.0,Pickup Truck,4.5,23300000,23300000,200.0,2200,75.09,3200,https://5.imimg.com/data5/SELLER/Default/2021/8/NV/UV/DC/3615062/mahindra-bolero-extra-long-pickup-truck.jpg
Lexus LX,1,Petrol,5663,8,8.0,Automatic,93.0,SUV,5.0,8700000,8700000,530.0,3200,362.0,5600,"https://hips.hearstapps.com/hmg-prod/images/lx-ultra-luxury-2-1634070183.jpg?crop=0.764xw:0.678xh;0.0497xw,0.185xh&resize=1200:*"
Mercedes-Benz AMG GLC 43,9,Petrol,2996,6,5.0,Automatic,0.0,SUV,4.5,927000,976000,520.0,5000,384.87,6100,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mercedes-Benz/AMG-GLC-43/8592/1630668635399/front-left-side-47.jpg
Mahindra Bolero Camper,88,Diesel,2523,4,5.0,Manual,57.0,Pickup Truck,4.5,2999000,3549000,200.0,2200,75.09,3200,https://stimg.cardekho.com/images/carexteriorimages/930x620/Mahindra/Bolero-Camper/8805/1644241487331/front-left-side-47.jpg
Tata Nexon EV Max,1,Electric,0,0,5.0,Electric,0.0,SUV,5.0,463000,583000,250.0,0,141.04,0,https://imgd.aeplcdn.com/1200x900/n/cw/ec/121341/nexon-ev-max-exterior-right-front-three-quarter-7.jpeg?isig=0&q=75
